costat,curcd,datafmt,indfmt,consol,gvkey,fyear,act,at,lct,lt,pstkrv,seq,dvt,ni,capx,csho,derhedgl,dt,mkvalt,prcc_f
I,USD,STD,INDL,C,001562,2013,93.3470,131.2200,34.5270,38.6600,0.0000,92.5600,8.3610,10.3310,0.2550,28.2170,,0.0000,272.0119,9.640000000000
A,USD,STD,INDL,C,001585,2013,249.5060,447.4430,110.4990,189.6480,0.0000,257.9530,6.2220,34.4490,15.2600,28.7120,0.0000,51.7450,697.4145,24.290000000000
A,USD,STD,INDL,C,001598,2013,1369.1290,5877.9020,874.5450,2741.7810,0.0000,3136.1210,58.4050,516.9990,63.3140,245.0060,,1146.7360,12904.4660,52.670000000000
A,USD,STD,INDL,C,001602,2013,27367.0000,66125.0000,7947.0000,44029.0000,0.0000,22096.0000,1521.0000,5081.0000,693.0000,754.6000,97.0000,32128.0000,86084.7680,114.080000000000
A,USD,STD,INDL,C,001613,2013,246.7860,502.6730,86.6740,267.6780,0.0000,234.9950,7.4600,12.4370,11.8050,10.3730,,13.3110,201.7549,19.450000000000
A,USD,STD,FS,C,001618,2013,,184.9480,,105.6470,,79.3010,0.0000,,,,,,,5.440000000000
A,USD,STD,INDL,C,001618,2013,,184.9480,,105.6470,0.0000,79.3010,0.0000,-2.9390,1.4110,7.2200,,20.6040,,5.440000000000
A,USD,STD,INDL,C,001632,2013,5472.4250,6381.7500,570.5120,1642.1740,0.0000,4739.5760,405.9550,673.4870,123.0740,311.0450,,872.2410,15334.5185,49.300000000000
I,USD,STD,INDL,C,001633,2013,360.4130,587.7840,90.8940,101.3880,0.0000,486.3960,5.0330,31.1210,25.5510,12.2350,,0.0000,873.4567,71.390000000000
I,USD,STD,INDL,C,001635,2013,123.0910,215.6450,15.6280,25.9070,0.0000,189.7380,0.0000,15.0560,5.5380,13.2490,,0.0000,303.9321,22.940000000000
A,USD,STD,INDL,C,001650,2013,2.2660,2.7890,0.5890,0.5890,1.3490,2.2000,0.0000,-1.1180,0.0090,63.7210,,0.0000,3.5238,0.055300000000
